"Personnel Number","Surname","First name","Initials","NI Number","Box Number","Benefit","Benefit title","Description","Made Good Gross","Made Good"
"123-XYZ","Ballantine","Archibald","","KR679823A","9","3550","Vans","Vans","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","9","0","Vans","Vans","0","0"
"Y-5234","Holdsworth","Lindsay-Anne","","NB768696A","9","0","Vans","Vans","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","9","0","Vans","Vans","0","0"
"LL123","Hutchinson","John","","YH145986B","9","0","Vans","Vans","0","0"
"FG-135H","O?Hara","Hermione","","LM203045D","9","0","Vans","Vans","0","0"
"987-G","Trevelyan","Dominic","","","9","0","Vans","Vans","0","0"
"T321Q","Welsh","Gethin","R","","9","0","Vans","Vans","0","0"
"008","Willford","Ernest","","PS559944 ","9","3550","Vans","Vans","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","15","226","Beneficial loans","LOAN","0","0"
"987-G","Trevelyan","Dominic","","","15","458","Beneficial loans","Loan","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","11","1349","Medical","MED","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","11","400","Medical","MEDICAL","220","220"
"T321Q","Welsh","Gethin","R","","11","421","Medical","MEDICAL","0","0"
"LL123","Hutchinson","John","","YH145986B","15","812","Qualifying relocation","Please enter address...","0","0"
"FG-135H","O?Hara","Hermione","","LM203045D","15","812","Qualifying relocation","RELOC","0","0"
"987-G","Trevelyan","Dominic","","","15","0","Qualifying relocation","ADDRESS","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","15","201","Services","SERVICES","0","0"
"008","Willford","Ernest","","PS559944 ","15","1070","Services","SERVICES","200","200"
"Y-5234","Holdsworth","Lindsay-Anne","","NB768696A","13","2196","Assets at disposal","Penthouse Apartment","0","0"
"LL123","Hutchinson","John","","YH145986B","13","2196","Assets at disposal","apartment","0","0"
"FG-135H","O?Hara","Hermione","","LM203045D","13","0","Assets at disposal","apartment","350","350"
"987-G","Trevelyan","Dominic","","","15","276","Other items - Non Class 1A","nursery fees.","0","0"
"T321Q","Welsh","Gethin","R","","15","3210","Other items - Non Class 1A","EDUCAT","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","15","550","Other items - Class 1A","EDUCATION","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","15","550","Other items - Class 1A","EDUCATE 2","0","0"
"T321Q","Welsh","Gethin","R","","15","342","Other items - Class 1A","SUBS","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","16","97","Travel and subsistence","TRAVEL","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","16","105","Travel and subsistence","TRAVEL","75","75"
"008","Willford","Ernest","","PS559944 ","16","315","Travel and subsistence","travel","200","200"
"987ZXY","Bean","Angelina","E","TP369852A","16","427","Entertainment","ENT","0","0"
"LL123","Hutchinson","John","","YH145986B","16","805","Entertainment","ENT","0","0"
"FG-135H","O?Hara","Hermione","","LM203045D","16","805","Entertainment","ENTER","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","16","83","General expenses","TRAV","0","0"
"DEF/456","Holroyd-Jacques","Jessica","","","16","263","General expenses","EXP","0","0"
"123-XYZ","Ballantine","Archibald","","KR679823A","16","123","Home phone","HOME TEL","0","0"
"LL123","Hutchinson","John","","YH145986B","16","0","Non qual relocation","Please enter address...","0","0"
"FG-135H","O?Hara","Hermione","","LM203045D","16","0","Non qual relocation","RELOC","0","0"
"987-G","Trevelyan","Dominic","","","16","523","Non qual relocation","ADDRESS","0","0"
"987ZXY","Bean","Angelina","E","TP369852A","16","207","Other expenses","Phone calls & rental","30","30"

